"","Departamento","Municipio","Código.Dane","Año","E3A","K3A","F3A","L3A","N3A","O3A","P3A","M3A","Q3A","R3A","S3A","I3B","J3B","O3B"
"1","Cauca","Buenos Aires","19110","2010",0,2,2,"0",0,0,0,0,0,0,0,0,0,0.0342465753424658
"2","Cauca","Caloto","19142","2010",0,0,0,"0",0,0,0,0,0,0,0,0,0,0.0600158982511924
"3","Cauca","Corinto","19212","2010",0,0,0,"0",0,0,0,0,0,0,0,0,0,0.0868347338935574
"4","Cauca","Jambaló","19364","2010",0,2,0,"0",0,0,0,0,0,0,0,0,0,0.0113636363636364
"5","Cauca","Miranda","19455","2010",0,0,0,"0",0,0,0,0,0,0,0,0,0,0.0651041666666667
"6","Cauca","Suárez","19780","2010",1,0,5,"0",0,0,0,0,0,0,0,0,0,0.0608465608465608
"7","Cauca","Toribío","19821","2010",0,0,0,"0",0,0,0,0,0,0,0,0,0,0.03125
"8","Córdoba","Montelíbano","23466","2010",835,650.75,10,"0",0,2.16,0,35.72,366.58,91.03,1.17,0,0,0.0559418457648546
"9","Córdoba","Puerto Libertador","23580","2010",579,1806.26,10,"0",0,0.8,0,20.8,272.54,50.72,0,0,0,0.0294117647058824
"10","Córdoba","San José de Uré","23682","2010",0,0,0,"0",0,0,0,24.75,60.54,28.17,4.14,0,0,0
"11","Córdoba","Tierralta","23807","2010",2474,358.36,10,"0",1242.2,270.77,0,818.52,1024.4,279.46,15.12,0,0,0.00568181818181818
"12","Córdoba","Valencia","23855","2010",1,0,7,"0",1.17,0,0,0,0,1.17,0,0,0,0
"13","Meta","El Castillo","50251","2010",0,1.5,0,"0",0,0,0,0,0,0,0,0,0,0.0303738317757009
"14","Meta","Mapiripán","50325","2010",1144,1005.54,10,"0",0,30.98,0,0,854.47,93.85,16.64,0,0,0.0714285714285714
"15","Meta","Mesetas","50330","2010",7,1.5,10,"0",0,0,0,0,2.64,1.26,3.15,0,0,0.025830258302583
"16","Meta","La Macarena","50350","2010",186,2,10,"0",0,0.45,0,109.35,123.45,19.2,5.46,0,0,0.0503246753246753
"17","Meta","Uribe","50370","2010",36,0,10,"0",0,0,0,0,9.36,13.86,14.22,0,0,0.0285087719298246
"18","Antioquia","Anorí","05040","2010",526,85.84,10,"0",0,0,28.14,0,219.57,72.45,138.51,0,0,0.14247311827957
"19","Meta","Lejanías","50400","2010",0,0,0,"0",0,0,0,0,0,0,0,0,0,0.056
"20","Meta","Puerto Concordia","50450","2010",76,0,10,"0",0,0,0,15.69,41.29,13.68,8.73,0,0,0
"21","Meta","Puerto Gaitán","50568","2010",181,8,10,"0",0,115.39,0,0,144.08,48,27.65,0,0,0.0597269624573379
"22","Meta","Puerto López","50573","2010",0,0,1,"0",0,0,0,0,0,0,0,0,0,0.0388631090487239
"23","Meta","Puerto Lleras","50577","2010",13,16.36,10,"0",0,0,0,0,6.7,0.64,3.88,0,0,0.0558823529411765
"24","Meta","Puerto Rico","50590","2010",757,0,10,"0",0,0,0,357.26,531.18,106.33,3.13,0,0,0.0441988950276243
"25","Meta","San Juan de Arama","50683","2010",87,5,10,"0",0,0,0,72.1,26.22,60.15,0.77,0,0,0.0869565217391304
"26","Meta","San Martín","50689","2010",0,37.78,6,"0",0,0,0,0,14.4,0,0,0,0,0.0761455525606469
"27","Meta","Vistahermosa","50711","2010",521,91.24,10,"0",0,0,0,148.23,409.49,53.78,8.2,0,0,0.0286396181384248
"28","Antioquia","Briceño","05107","2010",94,214.93,10,"0",0,0,0,0,35.46,2.79,45.09,0,0,0.3125
"29","Antioquia","Cáceres","05120","2010",1056,1770.53,10,"0",0,10.29,0,0,481.87,324.45,78.21,0,0,0.101890756302521
"30","Antioquia","Caucasia","05154","2010",0,2,8,"0",0,0,0,0,0,0,0,0,0,0.147772474144789
"31","Antioquia","El Bragre","05250","2010",1110,6,10,"0",718.31,0.36,15.77,0,789.21,100.01,1.08,0,0,0.125423728813559
"32","Nariño","Tumaco","52835","2010",5464,15265.07,10,"0",2611.21,1042.51,2612.68,31.12,4484.96,686.17,72.18,0,0,0.0454808806488992
"33","Antioquia","Ituango","05361","2010",16,6,10,"0",10.35,4.14,0,43.37,100.67,105.66,87.84,0,0,0.0719814241486068
"34","Norte de Santander","Convención","54206","2010",68,16,10,"0",56.43,16.02,0,48.69,53.73,20.7,4.14,0,0,0.232014388489209
"35","Norte de Santander","El Cármen","54245","2010",86,1.5,9,"0",88.47,7.92,0,25.47,42.21,44.55,11.07,0,0,0.0491071428571429
"36","Norte de Santander","El Tarra","54250","2010",217,84.51,10,"0",135.63,3.06,0,3.06,103.68,51.48,1.17,0,0,0.116228070175439
"37","Norte de Santander","Hacarí","54344","2010",1,0,7,"0",0,0,0,0,0,0,0.81,0,0,0.1015625
"38","Norte de Santander","Ocaña","54498","2010",0,0,0,"0",0,0,0,0,0,0,0,0,0,0.143244873341375
"39","Norte de Santander","San Calixto","54670","2010",0,0.8,9,"0",0.72,0,0,0,2.07,0.99,0,0,0,0.0284090909090909
"40","Norte de Santander","Sardinata","54720","2010",193,25.4,10,"0",0,0,0,0,98.13,24.39,1.26,0,0,0.16044776119403
"41","Norte de Santander","Teorama","54800","2010",271,468.18,10,"0",160.83,25.67,0,44.93,163.62,30.6,1.71,0,0,0.0465686274509804
"42","Norte de Santander","Tibú","54810","2010",943,846.77,10,"0",0,0,0,18.7,548.98,177.48,2.52,0,0,0.109936575052854
"43","Antioquia","Nechí","05495","2010",119,1,10,"0",49.19,0,0,0,102.34,8.01,0.54,0,0,0.0814606741573034
"44","Antioquia","Tarazá","05790","2010",986,1528.99,10,"0",0,0.81,0,0,314.23,196.1,102.24,0,0,0.103110599078341
"45","Antioquia","Valdivia","05854","2010",134,213.42,10,"0",0,0,0,0,109.61,28.98,5.58,0,0,0.22463768115942
"46","Antioquia","Zaragoza","05895","2010",384,0,10,"0",168.71,9.2,17.09,0,317.44,78.93,14.13,0,0,0.0652173913043478
"47","Cauca","Buenos Aires","19110","2011",0,0,2,"0",0,0,0,0,0,0,0,0,0,0.028735632183908
"48","Cauca","Caloto","19142","2011",0,0,0,"0",0,0,0,0,0,0,0,0,0,0.049609375
"49","Cauca","Corinto","19212","2011",0,0,0,"0",0,0,0,0,0,0,0,0,0,0.113372093023256
"50","Cauca","Jambaló","19364","2011",0,0,0,"0",0,0,0,0,0,0,0,0,0,0.0576923076923077
"51","Cauca","Miranda","19455","2011",0,0,0,"0",0,0,0,0,0,0,0,0,0,0.11046511627907
"52","Cauca","Suárez","19780","2011",0,0,4,"0",0,0,0,0,0,0,0,0,0,0.0732484076433121
"53","Cauca","Toribío","19821","2011",0,0,0,"0",0,0,0,0,0,0,0,0,0,0
"54","Córdoba","Montelíbano","23466","2011",240,138.58,10,"0",0,6.4417,0,13.8181,211.8146,34.5153,2.2921,0,0,0.0472154963680387
"55","Córdoba","Puerto Libertador","23580","2011",243,659.96,10,"0",0,2.2842,0,3.271,66.4717,21.522,8.0568,0,0,0.0316666666666667
"56","Córdoba","San José de Uré","23682","2011",0,0,0,"0",0,0,0,41.8389,105.6262,126.4652,0,0,0,0.0277777777777778
"57","Córdoba","Tierralta","23807","2011",604,630.04,10,"0",506.0444,200.5063,0,399.6292,390.0412,126.7575,12.6585,0,0,0.0634236453201971
"58","Córdoba","Valencia","23855","2011",1,0,8,"0",0.6021,0,0,0,0,0,0.6021,0,0,0.0263157894736842
"59","Meta","El Castillo","50251","2011",0,7,0,"0",0,0,0,0,0,0,0,0,0,0.0528846153846154
"60","Meta","Mapiripán","50325","2011",1109,566.93,10,"0",0.725,29.025,0,0,726.9776,284.6113,168.0599,0,0,0.0252100840336134
"61","Meta","Mesetas","50330","2011",0,2.52,9,"0",0,0,0,0,6.1054,0.3577,0,0,0,0.0218023255813953
"62","Meta","La Macarena","50350","2011",151,1.4,10,"0",0,0,0,102.4403,131.2653,36.845,7.415,0,0,0.0717592592592593
"63","Meta","Uribe","50370","2011",72,4,10,"0",0,0,0,0,34.5229,27.9264,1.2612,0,0,0.0160098522167488
"64","Antioquia","Anorí","05040","2011",208,10,10,"0",0,0,31.3916,0,227.0539,47.1513,0.9849,0,0,0.164502164502165
"65","Meta","Lejanías","50400","2011",0,24.04,0,"0",0,0,0,0,0,0,0,0,0,0.071875
"66","Meta","Puerto Concordia","50450","2011",91,0,10,"0",0,2.42,0,23.155,62.68,19.415,18.825,0,0,0.0381944444444444
"67","Meta","Puerto Gaitán","50568","2011",122,332.29,10,"0",0,82.2235,0,0,91.3788,36.3727,7.3867,0,0,0.0320121951219512
"68","Meta","Puerto López","50573","2011",0,0,1,"0",0,0,0,0,0,0,0,0,0,0.0416666666666667
"69","Meta","Puerto Lleras","50577","2011",20,9,10,"0",0,0,0,0,6.4639,9.5915,12.9562,0,0,0.0466101694915254
"70","Meta","Puerto Rico","50590","2011",883,107.7,10,"0",0,0,0,601.6702,636.5506,248.6203,16.1129,0,0,0.0368217054263566
"71","Meta","San Juan de Arama","50683","2011",48,2,10,"0",0,0,0,102.2207,106.742,2.7418,0,0,0,0.0941558441558442
"72","Meta","San Martín","50689","2011",19,2,7,"0",0,0,0,0,18.8432,6.9512,1.255,0,0,0.102401129943503
"73","Meta","Vistahermosa","50711","2011",524,20.28,10,"0",0,0,0,183.3399,301.497,93.6772,1.3864,0,0,0.0287433155080214
"74","Antioquia","Briceño","05107","2011",38,205.36,10,"0",0,0,0,0,34.3537,8.7992,2.6898,0,0,0.075
"75","Antioquia","Cáceres","05120","2011",453,354.7,10,"0",0,1.0749,0,0,422.3504,36.6221,0,0,0,0.151057401812689
"76","Antioquia","Caucasia","05154","2011",0,6.5,7,"0",0,0,0,0,0,0,0,0,0,0.114219712525667
"77","Antioquia","El Bragre","05250","2011",317,637.69,10,"0",343.629,0,2.0327,0,331.4481,74.9104,1.3398,0,0,0.104651162790698
"78","Nariño","Tumaco","52835","2011",5593,13542.72,10,"0",3023.076,1092.9442,3136.3728,7.8585,5762.0508,205.2043,2.6598,0,0,0.0427722772277228
"79","Antioquia","Ituango","05361","2011",82,118.46,10,"0",0,0,0,13.1652,139.224,32.1852,72.7411,0,0,0.136467889908257
"80","Norte de Santander","Convención","54206","2011",180,2,10,"0",163.6123,27.386,0,76.8282,81.0347,91.112,32.3125,0,0,0.126785714285714
"81","Norte de Santander","El Cármen","54245","2011",212,10,9,"0",241.2796,15.837,0,77.1597,59.125,144.5219,57.4186,0,0,0.0373134328358209
"82","Norte de Santander","El Tarra","54250","2011",410,0,10,"0",430.1351,0,0,0,157.1741,231.4622,69.4764,0,0,0.0641592920353982
"83","Norte de Santander","Hacarí","54344","2011",48,0,7,"0",0,0,0,0,0,0,48.4788,0,0,0.0277777777777778
"84","Norte de Santander","Ocaña","54498","2011",0,0,0,"0",0,0,0,0,0,0,0,0,0,0.109885386819484
"85","Norte de Santander","San Calixto","54670","2011",66,0,9,"0",35.2874,0,0,0,0.7112,6.3923,46.6296,0,0,0.0511363636363636
"86","Norte de Santander","Sardinata","54720","2011",1125,236.11,10,"0",0,0,0,0,295.1238,350.6539,146.1361,0,0,0.0893854748603352
"87","Norte de Santander","Teorama","54800","2011",298,14.01,10,"0",312.0808,25.6503,0,44.2816,175.629,87.8151,88.2566,0,0,0.0188679245283019
"88","Norte de Santander","Tibú","54810","2011",772,53.43,10,"0",0,0,0,4.916,630.9882,418.6133,15.3566,0,0,0.0589430894308943
"89","Antioquia","Nechí","05495","2011",210,253.77,10,"0",66.1993,0,0,0,81.3185,74.3771,7.4598,0,0,0.0892857142857143
"90","Antioquia","Tarazá","05790","2011",635,371.29,10,"0",0,0,0,0,420.7696,157.7618,11.6888,0,0,0.113192182410423
"91","Antioquia","Valdivia","05854","2011",199,174.2,10,"0",0,0,0,0,165.1944,97.4934,19.959,0,0,0.188405797101449
"92","Antioquia","Zaragoza","05895","2011",49,0,10,"0",46.4441,0.4549,2.6354,0,91.8592,23.7142,0,0,0,0.137731481481481
"93","Cauca","Buenos Aires","19110","2012",0,0,2,"0",0,0,0,0,0,0,0,58743.8399402142,0,0.0523809523809524
"94","Cauca","Caloto","19142","2012",0,0,0,"0",0,0,0,0,0,0,0,206828.229449354,0,0.0592900302114804
"95","Cauca","Corinto","19212","2012",0,0,0,"0",0,0,0,0,0,0,0,16927.378755181,0,0.0948795180722892
"96","Cauca","Jambaló","19364","2012",0,0,0,"0",0,0,0,0,0,0,0,39390.3692649336,0,0.0102040816326531
"97","Cauca","Miranda","19455","2012",0,0,0,"0",0,0,0,0,0,0,0,111555.26414905,0,0.137228260869565
"98","Cauca","Suárez","19780","2012",0,0,4,"0",0,0,0,0,0,0,0,41915.4568555203,0,0.103030303030303
"99","Cauca","Toribío","19821","2012",0,0,0,"0",0,0,0,0,0,0,0,31632.9744858055,0,0
"100","Córdoba","Montelíbano","23466","2012",224,3094.14,10,"0",0,0.3866,0,11.6415,100.1447,86.8652,40.6719,90942.1763935639,0,0.0493090452261307
"101","Córdoba","Puerto Libertador","23580","2012",214,485.17,10,"0",0,2.8372,0,16.6458,58.7385,106.7489,42.6541,50519.3726798219,0,0.0590909090909091
"102","Córdoba","San José de Uré","23682","2012",99,0,1,"0",0,0,0,27.3066,53.242,44.0941,3.4544,55826.3237331289,0,0.0576923076923077
"103","Córdoba","Tierralta","23807","2012",509,935.48,10,"0",480.5283,142.3406,0,328.186,285.7018,204.3299,26.0824,6483.73090323701,0,0.0222960151802657
"104","Córdoba","Valencia","23855","2012",0,0,8,"0",1.4816,0,0,0,0,0.7976,0.684,4745.5140031696,0,0
"105","Meta","El Castillo","50251","2012",0,2.52,0,"0",0,0,0,0,0,0,0,50642.8377466481,0,0.0397727272727273
"106","Meta","Mapiripán","50325","2012",144,101.82,10,"0",0.0902,14.1498,0,0,116.8362,23.453,4.3287,20000.9669114275,0,0.0243055555555556
"107","Meta","Mesetas","50330","2012",29,88.75,9,"0",0,0,0,0,0,0,28.796,80523.4070221025,0,0.0602409638554217
"108","Meta","La Macarena","50350","2012",228,130.3,10,"0",0,0,0,170.7115,151.2662,34.1746,41.7371,35025.6539656468,0,0.113805970149254
"109","Meta","Uribe","50370","2012",110,17.5,10,"0",0,0,0,2.7794,77.7018,29.7355,2.7794,154469.185810829,0,0.0873015873015873
"110","Antioquia","Anorí","05040","2012",361,0,10,"0",0,0,17.1662,3.9852,138.673,150.1405,98.0954,62315.1793201828,0,0.127705627705628
